sample_identifier;collection_id;sample_type_id;sample_status_id;country_code;country_origin_code;referent_id;sampling_date;sample_multiple_value;sample_parent_identifier;container_parent_identifier;md_taxon;md_longueur;md_riviere;md_num_individu;uuid
T94662-MON;1;2;1;FR;FR;1;09/09/1999;;T94662;BOITE;TRF;100;Dranse;IL758;608d5e76-efbc-5af8-8e40-61982a3850e8
T94663-MON;1;2;1;FR;FR;1;09/09/1999;;T94663;BOITE;TRF;202;Dranse;IL759;b65fcd9b-7bb8-50e3-90e1-108ad8bc1efe
T94664-MON;1;2;1;FR;FR;1;09/09/1999;;T94664;BOITE;TRF;151;Dranse;IL760;38b18210-8caf-577a-a9a7-81548b74a6a9
T94665-MON;1;2;1;FR;FR;1;09/09/1999;;T94665;BOITE;TRF;196;Dranse;IL761;b3051a97-3dfa-54f4-b274-a642bf4485e6
T94666-MON;1;2;1;FR;FR;1;09/09/1999;;;BOITE;TRF;154;Dranse;IL762;bc3a9e6b-25d5-5556-a6e6-834bdc2105f0
T94667-MON;1;2;1;FR;FR;1;09/09/1999;;;BOITE;TRF;186;Dranse;IL763;61024a0e-8a82-549e-abed-8976e1ea8617
T94668-MON;1;2;1;FR;FR;1;09/09/1999;;;BOITE;TRF;166;Dranse;IL764;5fa482ed-4e28-56c0-b2c1-260c304a903d
T94669-MON;1;2;1;FR;FR;1;09/09/1999;;;BOITE;TRF;172;Dranse;IL765;3c1fb1a7-1fec-5d49-96b1-6521aca6da78
T94670-MON;1;2;1;FR;FR;1;09/09/1999;;;BOITE;TRF;157;Dranse;IL766;6a5ad987-9f10-585d-96ec-c4fc59ec0111
T94671-MON;1;2;1;FR;FR;1;09/09/1999;;;BOITE;TRF;135;Dranse;IL767;bb58c788-3660-5383-a551-6605d31e782c
T94672-MON;1;2;1;FR;FR;1;09/09/1999;;;BOITE;TRF;135;Dranse;IL768;fb37f8e8-b171-5fdb-8fe0-6b85e09f7d86
T94673-MON;1;2;1;FR;FR;1;09/09/1999;;;BOITE;TRF;125;Dranse;IL769;d18592f2-b51b-52f3-b217-c7def355d579
T94674-MON;1;2;1;FR;FR;1;09/09/1999;;T94674;BOITE;TRF;114;Dranse;IL771;c0acda73-3321-58b5-9550-a475cb04a406
